NO_(0.0, 0.0, 0.0)_(1.0, 1.0, 1.0)_(0.0, 0.0, 0.0, 1.0)
Cube_(231.5, 5.3, -252.0)_(54.0, 18.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(284.6, 5.3, -323.5)_(54.0, 18.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(231.5, 5.3, -323.5)_(54.0, 18.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(284.6, 5.3, -107.3)_(54.0, 18.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(231.5, 5.3, -107.3)_(54.0, 18.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(284.6, 5.3, -179.7)_(54.0, 18.0, 73.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(231.5, 5.3, -179.7)_(54.0, 18.0, 73.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-230.2, 14.3, -181.1)_(54.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-284.2, 14.3, -181.1)_(54.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-230.2, 14.3, -109.1)_(54.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-284.2, 14.3, -109.1)_(54.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-230.0, 14.3, -37.4)_(54.1, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-283.8, 14.3, -37.4)_(54.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-230.0, 14.3, 35.8)_(54.2, 36.0, 75.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-284.0, 14.3, 35.8)_(54.0, 36.0, 75.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-283.7, 5.3, 108.9)_(54.0, 18.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-230.3, 5.3, 108.9)_(54.0, 18.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(231.6, 14.3, -35.6)_(54.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(285.3, 14.3, 35.8)_(54.0, 36.0, 73.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(231.6, 14.3, 35.8)_(54.0, 36.0, 73.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-283.7, 5.3, 180.6)_(54.0, 18.0, 73.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-230.3, 5.3, 180.6)_(54.0, 18.0, 73.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-126.3, 5.3, 234.4)_(54.0, 18.0, 36.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-126.3, 5.3, 269.6)_(54.0, 18.0, 36.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-179.4, 5.3, 234.4)_(54.0, 18.0, 36.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-179.4, 5.3, 269.6)_(54.0, 18.0, 36.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-283.7, 5.3, 252.7)_(54.0, 18.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-230.3, 5.3, 252.7)_(54.0, 18.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-283.7, 5.3, 325.0)_(54.0, 18.0, 73.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-230.3, 5.3, 325.0)_(54.0, 18.0, 73.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-177.5, 14.3, 468.7)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(65.8, 14.3, 594.7)_(134.0, 36.0, 108.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(175.6, 14.3, 394.6)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-81.2, -6.7, -469.5)_(144.0, 36.0, 155.8)_(0.1, 0.0, 0.0, 1.0)
#
Cube_(-83.2, -6.7, 471.2)_(144.0, 36.0, 155.8)_(0.0, 1.0, -0.1, 0.0)
#
Cube_(128.0, 14.3, 108.3)_(54.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(181.0, 14.3, 180.2)_(54.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(128.0, 14.3, 180.2)_(54.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(284.8, 14.3, 108.3)_(54.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(231.8, 14.3, 108.3)_(54.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(284.8, 14.3, 180.2)_(54.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(231.8, 14.3, 180.2)_(54.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(284.8, 14.3, 251.3)_(54.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(231.8, 14.3, 251.3)_(54.0, 36.0, 72.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(284.8, 14.3, 323.4)_(54.0, 36.0, 74.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(231.8, 14.3, 323.4)_(54.0, 36.0, 74.0)_(0.0, 1.0, 0.0, 0.0)
#
Cube_(-177.5, 14.3, 396.9)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-264.2, 14.3, 468.7)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-264.2, 14.3, 396.9)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-177.5, 14.3, 612.2)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-177.5, 14.3, 540.4)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-264.2, 14.3, 612.2)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(-264.2, 14.3, 540.4)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(175.6, 14.3, 466.1)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(175.6, 14.3, 394.6)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(175.6, 14.3, 466.1)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(262.7, 14.3, 394.6)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(262.7, 14.3, 466.1)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(175.6, 14.3, 394.6)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(175.6, 14.3, 466.1)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(265.7, 14.3, 394.6)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(265.7, 14.3, 466.1)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(175.6, 14.3, 394.6)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(175.6, 14.3, 466.1)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(265.7, 14.3, 394.6)_(90.0, 36.0, 72.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(264.8, 14.3, 611.2)_(90.0, 36.0, 75.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(175.6, 14.3, 537.4)_(90.0, 36.0, 74.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(175.6, 14.3, 611.2)_(90.0, 36.0, 75.0)_(0.0, 0.0, 0.0, 1.0)
#
Cube_(264.8, 14.3, 537.4)_(90.0, 36.0, 74.0)_(0.0, 0.0, 0.0, 1.0)
#
#
